WTK	ID
"POLYGON ((10.63248255 44.6991256, 10.63248255 44.7027299, 10.6381405 44.7027299, 10.6381405 44.6991256, 10.63248255 44.6991256))"	12,9
"POLYGON ((10.581561 44.7027299, 10.581561 44.7063342, 10.58721895 44.7063342, 10.58721895 44.7027299, 10.581561 44.7027299))"	13,0
"POLYGON ((10.58721895 44.7027299, 10.58721895 44.7063342, 10.5928769 44.7063342, 10.5928769 44.7027299, 10.58721895 44.7027299))"	13,1
"POLYGON ((10.6381405 44.7027299, 10.6381405 44.7063342, 10.64379845 44.7063342, 10.64379845 44.7027299, 10.6381405 44.7027299))"	13,10
"POLYGON ((10.64379845 44.7027299, 10.64379845 44.7063342, 10.6494564 44.7063342, 10.6494564 44.7027299, 10.64379845 44.7027299))"	13,11
"POLYGON ((10.6494564 44.7027299, 10.6494564 44.7063342, 10.65511435 44.7063342, 10.65511435 44.7027299, 10.6494564 44.7027299))"	13,12
"POLYGON ((10.65511435 44.7027299, 10.65511435 44.7063342, 10.6607723 44.7063342, 10.6607723 44.7027299, 10.65511435 44.7027299))"	13,13
"POLYGON ((10.6607723 44.7027299, 10.6607723 44.7063342, 10.666430250000001 44.7063342, 10.666430250000001 44.7027299, 10.6607723 44.7027299))"	13,14
"POLYGON ((10.666430250000001 44.7027299, 10.666430250000001 44.7063342, 10.672088200000001 44.7063342, 10.672088200000001 44.7027299, 10.666430250000001 44.7027299))"	13,15
"POLYGON ((10.672088200000001 44.7027299, 10.672088200000001 44.7063342, 10.67774615 44.7063342, 10.67774615 44.7027299, 10.672088200000001 44.7027299))"	13,16
"POLYGON ((10.67774615 44.7027299, 10.67774615 44.7063342, 10.6834041 44.7063342, 10.6834041 44.7027299, 10.67774615 44.7027299))"	13,17
"POLYGON ((10.6834041 44.7027299, 10.6834041 44.7063342, 10.68906205 44.7063342, 10.68906205 44.7027299, 10.6834041 44.7027299))"	13,18
"POLYGON ((10.68906205 44.7027299, 10.68906205 44.7063342, 10.69472 44.7063342, 10.69472 44.7027299, 10.68906205 44.7027299))"	13,19
"POLYGON ((10.5928769 44.7027299, 10.5928769 44.7063342, 10.59853485 44.7063342, 10.59853485 44.7027299, 10.5928769 44.7027299))"	13,2
"POLYGON ((10.59853485 44.7027299, 10.59853485 44.7063342, 10.6041928 44.7063342, 10.6041928 44.7027299, 10.59853485 44.7027299))"	13,3
"POLYGON ((10.6041928 44.7027299, 10.6041928 44.7063342, 10.60985075 44.7063342, 10.60985075 44.7027299, 10.6041928 44.7027299))"	13,4
"POLYGON ((10.60985075 44.7027299, 10.60985075 44.7063342, 10.615508700000001 44.7063342, 10.615508700000001 44.7027299, 10.60985075 44.7027299))"	13,5
"POLYGON ((10.615508700000001 44.7027299, 10.615508700000001 44.7063342, 10.621166650000001 44.7063342, 10.621166650000001 44.7027299, 10.615508700000001 44.7027299))"	13,6
"POLYGON ((10.621166650000001 44.7027299, 10.621166650000001 44.7063342, 10.6268246 44.7063342, 10.6268246 44.7027299, 10.621166650000001 44.7027299))"	13,7
"POLYGON ((10.6268246 44.7027299, 10.6268246 44.7063342, 10.63248255 44.7063342, 10.63248255 44.7027299, 10.6268246 44.7027299))"	13,8
"POLYGON ((10.63248255 44.7027299, 10.63248255 44.7063342, 10.6381405 44.7063342, 10.6381405 44.7027299, 10.63248255 44.7027299))"	13,9
"POLYGON ((10.581561 44.7063342, 10.581561 44.7099385, 10.58721895 44.7099385, 10.58721895 44.7063342, 10.581561 44.7063342))"	14,0
"POLYGON ((10.58721895 44.7063342, 10.58721895 44.7099385, 10.5928769 44.7099385, 10.5928769 44.7063342, 10.58721895 44.7063342))"	14,1
"POLYGON ((10.6381405 44.7063342, 10.6381405 44.7099385, 10.64379845 44.7099385, 10.64379845 44.7063342, 10.6381405 44.7063342))"	14,10
"POLYGON ((10.64379845 44.7063342, 10.64379845 44.7099385, 10.6494564 44.7099385, 10.6494564 44.7063342, 10.64379845 44.7063342))"	14,11
"POLYGON ((10.6494564 44.7063342, 10.6494564 44.7099385, 10.65511435 44.7099385, 10.65511435 44.7063342, 10.6494564 44.7063342))"	14,12
"POLYGON ((10.65511435 44.7063342, 10.65511435 44.7099385, 10.6607723 44.7099385, 10.6607723 44.7063342, 10.65511435 44.7063342))"	14,13
"POLYGON ((10.6607723 44.7063342, 10.6607723 44.7099385, 10.666430250000001 44.7099385, 10.666430250000001 44.7063342, 10.6607723 44.7063342))"	14,14
"POLYGON ((10.666430250000001 44.7063342, 10.666430250000001 44.7099385, 10.672088200000001 44.7099385, 10.672088200000001 44.7063342, 10.666430250000001 44.7063342))"	14,15
"POLYGON ((10.672088200000001 44.7063342, 10.672088200000001 44.7099385, 10.67774615 44.7099385, 10.67774615 44.7063342, 10.672088200000001 44.7063342))"	14,16
"POLYGON ((10.67774615 44.7063342, 10.67774615 44.7099385, 10.6834041 44.7099385, 10.6834041 44.7063342, 10.67774615 44.7063342))"	14,17
"POLYGON ((10.6834041 44.7063342, 10.6834041 44.7099385, 10.68906205 44.7099385, 10.68906205 44.7063342, 10.6834041 44.7063342))"	14,18
"POLYGON ((10.68906205 44.7063342, 10.68906205 44.7099385, 10.69472 44.7099385, 10.69472 44.7063342, 10.68906205 44.7063342))"	14,19
"POLYGON ((10.5928769 44.7063342, 10.5928769 44.7099385, 10.59853485 44.7099385, 10.59853485 44.7063342, 10.5928769 44.7063342))"	14,2
"POLYGON ((10.59853485 44.7063342, 10.59853485 44.7099385, 10.6041928 44.7099385, 10.6041928 44.7063342, 10.59853485 44.7063342))"	14,3
"POLYGON ((10.6041928 44.7063342, 10.6041928 44.7099385, 10.60985075 44.7099385, 10.60985075 44.7063342, 10.6041928 44.7063342))"	14,4
"POLYGON ((10.60985075 44.7063342, 10.60985075 44.7099385, 10.615508700000001 44.7099385, 10.615508700000001 44.7063342, 10.60985075 44.7063342))"	14,5
"POLYGON ((10.615508700000001 44.7063342, 10.615508700000001 44.7099385, 10.621166650000001 44.7099385, 10.621166650000001 44.7063342, 10.615508700000001 44.7063342))"	14,6
"POLYGON ((10.621166650000001 44.7063342, 10.621166650000001 44.7099385, 10.6268246 44.7099385, 10.6268246 44.7063342, 10.621166650000001 44.7063342))"	14,7
"POLYGON ((10.6268246 44.7063342, 10.6268246 44.7099385, 10.63248255 44.7099385, 10.63248255 44.7063342, 10.6268246 44.7063342))"	14,8
"POLYGON ((10.63248255 44.7063342, 10.63248255 44.7099385, 10.6381405 44.7099385, 10.6381405 44.7063342, 10.63248255 44.7063342))"	14,9
"POLYGON ((10.581561 44.7099385, 10.581561 44.7135428, 10.58721895 44.7135428, 10.58721895 44.7099385, 10.581561 44.7099385))"	15,0
"POLYGON ((10.58721895 44.7099385, 10.58721895 44.7135428, 10.5928769 44.7135428, 10.5928769 44.7099385, 10.58721895 44.7099385))"	15,1
"POLYGON ((10.6381405 44.7099385, 10.6381405 44.7135428, 10.64379845 44.7135428, 10.64379845 44.7099385, 10.6381405 44.7099385))"	15,10
"POLYGON ((10.64379845 44.7099385, 10.64379845 44.7135428, 10.6494564 44.7135428, 10.6494564 44.7099385, 10.64379845 44.7099385))"	15,11
"POLYGON ((10.6494564 44.7099385, 10.6494564 44.7135428, 10.65511435 44.7135428, 10.65511435 44.7099385, 10.6494564 44.7099385))"	15,12
"POLYGON ((10.65511435 44.7099385, 10.65511435 44.7135428, 10.6607723 44.7135428, 10.6607723 44.7099385, 10.65511435 44.7099385))"	15,13
"POLYGON ((10.6607723 44.7099385, 10.6607723 44.7135428, 10.666430250000001 44.7135428, 10.666430250000001 44.7099385, 10.6607723 44.7099385))"	15,14
"POLYGON ((10.666430250000001 44.7099385, 10.666430250000001 44.7135428, 10.672088200000001 44.7135428, 10.672088200000001 44.7099385, 10.666430250000001 44.7099385))"	15,15
"POLYGON ((10.672088200000001 44.7099385, 10.672088200000001 44.7135428, 10.67774615 44.7135428, 10.67774615 44.7099385, 10.672088200000001 44.7099385))"	15,16
"POLYGON ((10.67774615 44.7099385, 10.67774615 44.7135428, 10.6834041 44.7135428, 10.6834041 44.7099385, 10.67774615 44.7099385))"	15,17
"POLYGON ((10.6834041 44.7099385, 10.6834041 44.7135428, 10.68906205 44.7135428, 10.68906205 44.7099385, 10.6834041 44.7099385))"	15,18
"POLYGON ((10.68906205 44.7099385, 10.68906205 44.7135428, 10.69472 44.7135428, 10.69472 44.7099385, 10.68906205 44.7099385))"	15,19
"POLYGON ((10.5928769 44.7099385, 10.5928769 44.7135428, 10.59853485 44.7135428, 10.59853485 44.7099385, 10.5928769 44.7099385))"	15,2
"POLYGON ((10.59853485 44.7099385, 10.59853485 44.7135428, 10.6041928 44.7135428, 10.6041928 44.7099385, 10.59853485 44.7099385))"	15,3
"POLYGON ((10.6041928 44.7099385, 10.6041928 44.7135428, 10.60985075 44.7135428, 10.60985075 44.7099385, 10.6041928 44.7099385))"	15,4
"POLYGON ((10.60985075 44.7099385, 10.60985075 44.7135428, 10.615508700000001 44.7135428, 10.615508700000001 44.7099385, 10.60985075 44.7099385))"	15,5
"POLYGON ((10.615508700000001 44.7099385, 10.615508700000001 44.7135428, 10.621166650000001 44.7135428, 10.621166650000001 44.7099385, 10.615508700000001 44.7099385))"	15,6
"POLYGON ((10.621166650000001 44.7099385, 10.621166650000001 44.7135428, 10.6268246 44.7135428, 10.6268246 44.7099385, 10.621166650000001 44.7099385))"	15,7
"POLYGON ((10.6268246 44.7099385, 10.6268246 44.7135428, 10.63248255 44.7135428, 10.63248255 44.7099385, 10.6268246 44.7099385))"	15,8
"POLYGON ((10.63248255 44.7099385, 10.63248255 44.7135428, 10.6381405 44.7135428, 10.6381405 44.7099385, 10.63248255 44.7099385))"	15,9
"POLYGON ((10.581561 44.7135428, 10.581561 44.717147100000005, 10.58721895 44.717147100000005, 10.58721895 44.7135428, 10.581561 44.7135428))"	16,0
"POLYGON ((10.58721895 44.7135428, 10.58721895 44.717147100000005, 10.5928769 44.717147100000005, 10.5928769 44.7135428, 10.58721895 44.7135428))"	16,1
"POLYGON ((10.6381405 44.7135428, 10.6381405 44.717147100000005, 10.64379845 44.717147100000005, 10.64379845 44.7135428, 10.6381405 44.7135428))"	16,10
"POLYGON ((10.64379845 44.7135428, 10.64379845 44.717147100000005, 10.6494564 44.717147100000005, 10.6494564 44.7135428, 10.64379845 44.7135428))"	16,11
"POLYGON ((10.6494564 44.7135428, 10.6494564 44.717147100000005, 10.65511435 44.717147100000005, 10.65511435 44.7135428, 10.6494564 44.7135428))"	16,12
"POLYGON ((10.65511435 44.7135428, 10.65511435 44.717147100000005, 10.6607723 44.717147100000005, 10.6607723 44.7135428, 10.65511435 44.7135428))"	16,13
"POLYGON ((10.6607723 44.7135428, 10.6607723 44.717147100000005, 10.666430250000001 44.717147100000005, 10.666430250000001 44.7135428, 10.6607723 44.7135428))"	16,14
"POLYGON ((10.666430250000001 44.7135428, 10.666430250000001 44.717147100000005, 10.672088200000001 44.717147100000005, 10.672088200000001 44.7135428, 10.666430250000001 44.7135428))"	16,15
"POLYGON ((10.672088200000001 44.7135428, 10.672088200000001 44.717147100000005, 10.67774615 44.717147100000005, 10.67774615 44.7135428, 10.672088200000001 44.7135428))"	16,16
"POLYGON ((10.67774615 44.7135428, 10.67774615 44.717147100000005, 10.6834041 44.717147100000005, 10.6834041 44.7135428, 10.67774615 44.7135428))"	16,17
