WTK	ID
"POLYGON ((10.581561 44.655874, 10.581561 44.663082599999996, 10.5928769 44.663082599999996, 10.5928769 44.655874, 10.581561 44.655874))"	0,0
"POLYGON ((10.5928769 44.655874, 10.5928769 44.663082599999996, 10.6041928 44.663082599999996, 10.6041928 44.655874, 10.5928769 44.655874))"	0,1
"POLYGON ((10.6041928 44.655874, 10.6041928 44.663082599999996, 10.615508700000001 44.663082599999996, 10.615508700000001 44.655874, 10.6041928 44.655874))"	0,2
"POLYGON ((10.615508700000001 44.655874, 10.615508700000001 44.663082599999996, 10.6268246 44.663082599999996, 10.6268246 44.655874, 10.615508700000001 44.655874))"	0,3
"POLYGON ((10.6268246 44.655874, 10.6268246 44.663082599999996, 10.6381405 44.663082599999996, 10.6381405 44.655874, 10.6268246 44.655874))"	0,4
"POLYGON ((10.6381405 44.655874, 10.6381405 44.663082599999996, 10.6494564 44.663082599999996, 10.6494564 44.655874, 10.6381405 44.655874))"	0,5
"POLYGON ((10.6494564 44.655874, 10.6494564 44.663082599999996, 10.6607723 44.663082599999996, 10.6607723 44.655874, 10.6494564 44.655874))"	0,6
"POLYGON ((10.6607723 44.655874, 10.6607723 44.663082599999996, 10.672088200000001 44.663082599999996, 10.672088200000001 44.655874, 10.6607723 44.655874))"	0,7
"POLYGON ((10.672088200000001 44.655874, 10.672088200000001 44.663082599999996, 10.6834041 44.663082599999996, 10.6834041 44.655874, 10.672088200000001 44.655874))"	0,8
"POLYGON ((10.6834041 44.655874, 10.6834041 44.663082599999996, 10.69472 44.663082599999996, 10.69472 44.655874, 10.6834041 44.655874))"	0,9
"POLYGON ((10.581561 44.663082599999996, 10.581561 44.6702912, 10.5928769 44.6702912, 10.5928769 44.663082599999996, 10.581561 44.663082599999996))"	1,0
"POLYGON ((10.5928769 44.663082599999996, 10.5928769 44.6702912, 10.6041928 44.6702912, 10.6041928 44.663082599999996, 10.5928769 44.663082599999996))"	1,1
"POLYGON ((10.6041928 44.663082599999996, 10.6041928 44.6702912, 10.615508700000001 44.6702912, 10.615508700000001 44.663082599999996, 10.6041928 44.663082599999996))"	1,2
"POLYGON ((10.615508700000001 44.663082599999996, 10.615508700000001 44.6702912, 10.6268246 44.6702912, 10.6268246 44.663082599999996, 10.615508700000001 44.663082599999996))"	1,3
"POLYGON ((10.6268246 44.663082599999996, 10.6268246 44.6702912, 10.6381405 44.6702912, 10.6381405 44.663082599999996, 10.6268246 44.663082599999996))"	1,4
"POLYGON ((10.6381405 44.663082599999996, 10.6381405 44.6702912, 10.6494564 44.6702912, 10.6494564 44.663082599999996, 10.6381405 44.663082599999996))"	1,5
"POLYGON ((10.6494564 44.663082599999996, 10.6494564 44.6702912, 10.6607723 44.6702912, 10.6607723 44.663082599999996, 10.6494564 44.663082599999996))"	1,6
"POLYGON ((10.6607723 44.663082599999996, 10.6607723 44.6702912, 10.672088200000001 44.6702912, 10.672088200000001 44.663082599999996, 10.6607723 44.663082599999996))"	1,7
"POLYGON ((10.672088200000001 44.663082599999996, 10.672088200000001 44.6702912, 10.6834041 44.6702912, 10.6834041 44.663082599999996, 10.672088200000001 44.663082599999996))"	1,8
